Stakekey,Address,NFT,Amount
stake1ux5gqka0xhxlpyk5xtvhkekjth375t9uvkafpzr2h2rvewc0ce2cf,addr1qygqd6w996vzsvkcr9xuqfgtfpw4ll4zsl55md574mew8t4gspd67dwd7zfdgvke0dndyh0ragktced6jzyx4w5xejasr0wcf3,The Cardanaires Voltaire Silver,1
stake1u9n0d623hpe9a2ed7l0qszkd9lqq526ztr3jx78d3f4sadcgn3jpx,addr1q90qju3jn0v2s3tfv6fg4t988k4wu0lp9caxrfs9pehmppmx7m54rwrjt64jma77pq9v6t7qpg45yk8ryduwmzntp6ms93guzv,The Cardanaires Voltaire Silver,1
stake1uxjlpa77xqcwve0zgpy47vrvzt3tzlr3rhgnuhv0z2xd48gvtkwgf,addr1qykhk63kuvcrcfjf33dtzskfnn0gmck43p6hzmq4k5x8efd97rmauvpsuej7yszftucxcyhzk978z8w38ewc7y5vm2wse5yswp,The Cardanaires Voltaire Silver,1
stake1u8lnhtysl8j4c54je0jm25sn6us5u8quz0ktz3pnm6p3k8ckvgjq7,addr1qy8hgvjrgdvp9w0vawdsvza2xvxcyam04a6t7rg2uxrxdn0l8wkfp709t3ft9jl9k4fp84epfcwpcylvk9zr8h5rrv0stwkuky,The Cardanaires Voltaire Gold,1
stake1uysrmptrvwlscuqg30ravarxcft6kd2w7m8wfj00uylx8kghcjc30,addr1q8w7sdeas30aqrrp5usqvwfhlqj9altvwfkww0nmsvrnm93q8kzkxcalp3cq3z786e6xdsjh4v65aakwuny7lcf7v0vsr8cz62,The Cardanaires Voltaire Gold,1
stake1u9w474hvnceawcxe5lql76y7wwmc428x0j4zz743s7d0p0snc35ss,addr1q82uht9jycskynx89mzl3t9c66np6j9qgg2gdtxhxq59vmzatatwe83n6asdnf7pla5fuuah325wvl92y9atrpu67zlql60jmg,The Cardanaires Voltaire Gold,1
stake1ux5gqka0xhxlpyk5xtvhkekjth375t9uvkafpzr2h2rvewc0ce2cf,addr1qygqd6w996vzsvkcr9xuqfgtfpw4ll4zsl55md574mew8t4gspd67dwd7zfdgvke0dndyh0ragktced6jzyx4w5xejasr0wcf3,The Cardanaires Voltaire Gold,1
stake1uyah5n94jr278uuzpsxw7fdu2tmjnre2947ca2ymh0hp7dq6w5cc7,addr1qy6lkr6lqfrg2vmmv0u5lh9xmzasv0x50qymmq802c6n2sem0fxttyx4u0ecyrqvaujmc5hh9x8j5tta365fhwlwru6qejlwdw,The Cardanaires Voltaire Gold,1
stake1uysrmptrvwlscuqg30ravarxcft6kd2w7m8wfj00uylx8kghcjc30,addr1q8w7sdeas30aqrrp5usqvwfhlqj9altvwfkww0nmsvrnm93q8kzkxcalp3cq3z786e6xdsjh4v65aakwuny7lcf7v0vsr8cz62,The Cardanaires Voltaire Gold,1
stake1uyfa74nwqmstmkpdh22xrnyg0yfcte80dfj00kznfedl65cvfm60a,addr1qxuecj5gau23z3u3sjsdv9jewgtffapzamu48c3ne82j8zqnmatxuphqhhvzmw55v8xgs7gnshjw76ny7lv9xnjml4fsh463md,The Cardanaires Voltaire Gold,1
stake1u9ns59tawdqdfnyv3p49q9z3qxxn8rkm8fy96ukx9ap3qpcx9x350,addr1q8ddv2x4ezy63rkhp22edsg6066n4d55hmznfwzf4rkwsgr8pg2h6u6q6nxgezr22q29zqvdxw8dkwjgt4evvt6rzqrs23t5c2,The Cardanaires Voltaire Gold,1
stake1uy37g082tr4d4f8yrcvmyf5aqc0s6utt02v4m3zshx86djg9g4jtq,addr1qxaepuj3w3l6tqetume056zpcycmkp52zyr3s7xyumcejc3rus7w5k82m2jwg8sekgnf6pslp4ckk75ethz9pwv05mys6x6kla,The Cardanaires Voltaire Bronze,2
stake1u982jwtlyd33szxflrkxmtrtc5e64wu44fe23dskd4k5pxsefu79u,addr1qxcl3rgxwv3nlh5wypmgmdfaf5jysvlx92m266905w228z2w4yuh7gmrrqyvn78vdkkxh3fn42aet2nj4zmpvmtdgzdqdkr4s7,The Cardanaires Voltaire Bronze,1
stake1u95jv8fry34dv3je57y8ktjy7wemmatajrluvkj9gy6fpeq9xme5r,addr1qxj5xwe2ggk5rupmdlwhn6wdpj22tpktt26amqtxscm5nktfycwjxfr26er9nfug0vhyfuanhh6hmy8lcedy2sf5jrjqms7e53,The Cardanaires Voltaire Bronze,1
